column,dtype,role,non_null,unique_non_null,description
flag_metal_unknown_or_invalid,bool,quality_flag,930,2,At least one commodity indicator is '?' or an unrecognised value.
flag_metal_missing,bool,quality_flag,930,2,At least one commodity indicator is blank.
flag_no_confirmed_commodity,bool,quality_flag,930,1,No commodity indicator is confirmed present.
flag_technique_unknown_or_invalid,bool,quality_flag,930,1,At least one technique indicator is '?' or an unrecognised value.
flag_technique_incomplete,bool,quality_flag,930,2,At least one technique field is blank; blank is not treated as FALSE.
flag_no_confirmed_technique,bool,quality_flag,930,2,No technique indicator is confirmed present.
flag_chronology_missing,bool,quality_flag,930,2,All four chronology bounds and inUseDate are empty.
flag_chronology_invalid,bool,quality_flag,930,1,Available numeric chronology bounds are internally inconsistent.
flag_geology_missing,bool,quality_flag,930,2,geology is empty.
flag_deposit_type_missing,bool,quality_flag,930,2,depositType is empty.
flag_deposit_type_unexpected,bool,quality_flag,930,2,depositType is populated but outside the observed Primary/Secondary vocabulary.
flag_exploitation_type_missing,bool,quality_flag,930,2,exploitationType is empty.
flag_exploitation_type_unexpected,bool,quality_flag,930,2,exploitationType is populated but outside the observed Selective/Extensive vocabulary.
flag_possible_column_shift,bool,quality_flag,930,2,"Values resemble a one-column shift between geology, depositType and exploitationType; requires source review."
flag_source_uncertainty_text,bool,quality_flag,930,2,Source text contains an explicit uncertainty/possible-duplicate/work-in-progress phrase.
flag_duplicate_mine_id,bool,quality_flag,930,1,mineID is duplicated within the selected dataset.
flag_duplicate_coordinates,bool,quality_flag,930,2,Another selected record has exactly the same numeric latitude and longitude.
flag_duplicate_site_name,bool,quality_flag,930,2,Another selected record has the same accent-insensitive normalised site name.
flag_nearby_record_100m,bool,quality_flag,930,2,Another selected record lies within the configured 100 m candidate-review threshold.
text_artifact_columns,str,raw_or_derived,930,5,
flag_text_encoding_artifact,bool,quality_flag,930,2,At least one source text field contains a replacement/control artefact pattern.
quality_flag_count,int64,raw_or_derived,930,7,
quality_high_severity,bool,raw_or_derived,930,2,
quality_review_required,bool,raw_or_derived,930,1,
