mineID,site,ancientName,province,country,region,miningDistrict,romanianRANID,sanchezPalenciaAndOrejasID,domergueID,spainMapSheet,lambertX,lambertY,latitude,longitude,coordinateAccuracy,locationDataSource,locationNotes,notBeforeOpeningDate,notAfterOpeningDate,notBeforeClosingDate,notAfterClosingDate,inUseDate,metalMinedGold,metalMinedSilver,metalMinedLead,metalMinedCopper,metalMinedTin,metalMinedIron,metalMinedMercuryCinnabar,metalMinedZinc,metalMinedOther,description,references,techniqueOpencast,techniqueUnderground,techniqueHydraulic,techniqueHushing,techniqueGroundSluicing,techniqueRuinaMontium,techniqueRakeComb,techniqueGoldWashing,techniqueOther,notes,geology,depositType,exploitationType,Flag_Au_Oro,Status_Au_Oro,Flag_Ag_Plata,Status_Ag_Plata,Flag_Cu_Cobre,Status_Cu_Cobre,Flag_Pb_Plomo,Status_Pb_Plomo,Flag_Hg_Cinabrio,Status_Hg_Cinabrio,Flag_Sn_Estano,Status_Sn_Estano,Flag_Fe_Hierro,Status_Fe_Hierro,Tech_Ruina_Montium,Tech_Subterranea,Tech_Cielo_Abierto,Tech_Lavado_Placer,Certainty_Spatial,Certainty_Archaeological,Certainty_Metallogenic,Certainty_Score,Certainty_Grade
11,Corta da Torre,,Hispania Tarraconensis,Portugal,Northern Portugal,Northern Portugal,,NP-19,,,,,41.69245,-8.670924,5000.0,"Guessed from Google Earth and Sanchez-Palencia and Orejas 1994, fig. 12",,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Sanchez-Palencia and Orejas 1994, 199",,,,FALSE,FALSE,0.0,0.0,0.0,0.0,,,Primary,Extensive,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,0,0,0,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II)
12,Corta do Penedo das Bruxas,,Hispania Tarraconensis,Portugal,Northern Portugal,Northern Portugal,,NP-11,,,,,41.737828,-7.573834,1000.0,"Guessed from Google Earth and Sanchez-Palencia and Orejas 1994, fig. 12",,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Sanchez-Palencia and Orejas 1994, 198",,,,FALSE,FALSE,0.0,0.0,0.0,0.0,,,Primary,Extensive,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,0,0,0,0,0.7,0.9,1.0,0.845,Alta Certeza (Grado I)
13,Covas de Mouros de Monte da Nó,,Hispania Tarraconensis,Portugal,Northern Portugal,Northern Portugal,,NP-20,,,,,41.708911,-8.59835,2000.0,"Guessed from Google Earth and Sanchez-Palencia and Orejas 1994, fig. 12",,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Sanchez-Palencia and Orejas 1994, 199",,,,FALSE,FALSE,0.0,0.0,0.0,0.0,,,Primary,Selective,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,0,0,0,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II)
14,Crugeira,,Hispania Baetica,Portugal,Beja,Picos de Aroche,,,POR 10,513.0,271.5,127.4,38.11068367,-7.317816557,,,,,,,,,FALSE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Domergue 1990: 61,,,FALSE,FALSE,FALSE,0.0,0.0,0.0,,,Hard rock,Primary,,0,No,0,No,1,Confirmado,0,No,0,No,0,No,0,No,0,0,0,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II)
15,Ervedosa,,Hispania Tarraconensis,Portugal,Bragança,Trás-os-montes,,,POR 14,49.0,286.3,529.0,41.7257388,-7.095970035,,,,,,,,,FALSE,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,Domergue 1990: 41,,,FALSE,FALSE,FALSE,0.0,0.0,0.0,,,Hard rock,Primary,,0,No,0,No,0,No,0,No,0,No,1,Confirmado,0,No,0,0,0,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II)
16,Escadia Grande,,Hispania Tarraconensis,Portugal,Coimbra,Beiras,,,POR 20,253.0,201.5,345.5,40.07804448,-8.11552781,,,,,,,,,TRUE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Domergue 1990: 41,,,,,,,,,,,Hard rock,,,1,Confirmado,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,0,0,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II)
18,Folgadouro,,Hispania Tarraconensis,Portugal,Viano do Castelo,Trás-os-montes,,,POR 39,27.0,148.3,533.5,41.7692345,-8.754909308,,,,,,,,,FALSE,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,Domergue 1990: 41,,,FALSE,FALSE,FALSE,0.0,0.0,0.0,,,Hard rock,Primary,,0,No,0,No,0,No,0,No,0,No,1,Confirmado,0,No,0,0,0,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II)
19,Forca,,Hispania Tarraconensis,Portugal,Northern Portugal,Northern Portugal,,NP-24,,,,,41.836843,-8.260849,5000.0,"Guessed from Google Earth and Sanchez-Palencia and Orejas 1994, fig. 12",,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Sanchez-Palencia and Orejas 1994, 199",,,,FALSE,FALSE,0.0,0.0,0.0,0.0,,,Primary,Extensive,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,0,0,0,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II)
20,França,,Hispania Tarraconensis,Portugal,Northern Portugal,Northern Portugal,,NP-18,,,,,41.9014042,-6.7373962,1000.0,https://wiki.city/en/portugal_braganca_braganca_franca,,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Sanchez-Palencia and Orejas 1994, 199",,,,FALSE,FALSE,0.0,0.0,0.0,0.0,,,Primary,Selective,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,0,0,0,0,0.7,0.9,1.0,0.845,Alta Certeza (Grado I)
21,Furados de Pombeiro,,Hispania Tarraconensis,Portugal,Coimbra,Beiras,,,POR 19,232.0,201.9,363.7,40.24195054,-8.110787612,,,,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Domergue 1990: 41,,,,,,,,,,,River placer deposits,,,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,0,0,0,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II)
22,Grovelas,,Hispania Tarraconensis,Portugal,Northern Portugal,Northern Portugal,,NP-22,,,,,41.751727,-8.437788,1000.0,Google Earth,,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Sanchez-Palencia and Orejas 1994, 199",,,,FALSE,FALSE,0.0,0.0,0.0,0.0,,,Primary,Selective,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,0,0,0,0,0.7,0.9,1.0,0.845,Alta Certeza (Grado I)
23,Herdade da Tinoca,,Lusitania,Portugal,Portalegre,Alentejo,,,POR 29,386.0,285.7,235.0,39.07860132,-7.142712111,,,,,,,,,FALSE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Domergue 1990: 62,,,FALSE,FALSE,FALSE,0.0,0.0,0.0,,,Hard rock,,,0,No,0,No,1,Confirmado,0,No,0,No,0,No,0,No,0,0,0,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II)
24,Herdade do Montinho,,Lusitania,Portugal,Beja,Alentejo,,,POR 11,538.0,197.6,99.6,37.86304358,-8.160350225,,,,,,,,,FALSE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Domergue 1990: 62,,,FALSE,FALSE,FALSE,0.0,0.0,0.0,,,Pyrite,,,0,No,0,No,1,Confirmado,0,No,0,No,0,No,0,No,0,0,0,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II)
25,Jales,,Hispania Tarraconensis,Portugal,Vila Real,Trás-os-montes,,NP-08,POR 44,88.0,245.6,499.7,41.46531351,-7.587303241,,,,,,,,,TRUE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Domergue 1990: 41; Sanchez-Palencia and Orejas 1994, 198",0.0,1.0,FALSE,FALSE,FALSE,0.0,0.0,0.0,0.0,,Hard rock,Primary,Selective - Extensive,1,Confirmado,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,1,0,0,0.5,1.0,1.0,0.8,Alta Certeza (Grado I)
26,Juliana,,Lusitania,Portugal,Beja,Alentejo,,,POR 6,530.0,207.7,104.5,37.90716138,-8.045521077,,,,,,,,,FALSE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Domergue 1990: 62,0.0,1.0,FALSE,FALSE,FALSE,0.0,0.0,0.0,0.0,,Hard rock,,,0,No,0,No,1,Confirmado,0,No,0,No,0,No,0,No,0,1,0,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II)
27,Lagares,,Hispania Tarraconensis,Portugal,Northern Portugal,Northern Portugal,,NP-13,,,,,41.807087,-7.455047,1000.0,"Guessed from Google Earth and Sanchez-Palencia and Orejas 1994, fig. 12",,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Sanchez-Palencia and Orejas 1994, 198",,,,FALSE,FALSE,0.0,0.0,0.0,0.0,,,Primary,Selective,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,0,0,0,0,0.7,0.9,1.0,0.845,Alta Certeza (Grado I)
28,Macedinho,,Hispania Tarraconensis,Portugal,Northern Portugal,Northern Portugal,,NP-15,,,,,41.405245,-7.104955,2000.0,Google Earth,,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Sanchez-Palencia and Orejas 1994, 199",,,,FALSE,FALSE,0.0,0.0,0.0,0.0,,,Primary,Extensive,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,0,0,0,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II)
29,Malhada,,Hispania Tarraconensis,Portugal,Aveiro,Beiras,,,POR 1,175.0,177.4,419.2,40.74143642,-8.400695101,,,,,,,,,FALSE,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Domergue 1990: 42,0.0,1.0,FALSE,FALSE,FALSE,0.0,0.0,0.0,0.0,,Hard rock,,,0,No,1,Confirmado,0,No,1,Confirmado,0,No,0,No,0,No,0,1,0,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II)
30,Meimoa,,Hispania Tarraconensis,Portugal,Castelo Branco,Beiras,,,POR 18,248.0,286.0,359.5,40.19973244,-7.123086066,,,,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Domergue 1990: 41,0.0,0.0,TRUE,TRUE,TRUE,0.0,1.0,0.0,0.0,,Tertiary alluvium,,,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,1,0,1,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II)
32,Milreu,,Hispania Tarraconensis,Portugal,Santarem,Beiras,,,POR 35,311.0,199.2,294.5,39.61872097,-8.142422005,,,,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Domergue 1990: 41,,,,,,,,,,,Tertiary alluvium,,,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,0,0,0,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II)
33,Mina da Cabranca,,Lusitania,Portugal,Northern Portugal,Northern Portugal,,NP-07,,,,,41.012513,-8.361867,200.0,Carvalho and da Veiga Ferreira 1954,,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Carvalho and da Veiga Ferreira 1954; Sanchez-Palencia and Orejas 1994, 198",,,,FALSE,FALSE,0.0,0.0,0.0,0.0,,,Primary,Selective,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,0,0,0,0,0.85,0.9,1.0,0.905,Alta Certeza (Grado I)
34,Mina do Bugalho,,Hispania Baetica,Portugal,Évora,Picos de Aroche,,,POR 21,441.0,270.9,191.1,38.68452182,-7.318251199,,,,,,,,,FALSE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Domergue 1990: 61,,,FALSE,FALSE,FALSE,0.0,0.0,0.0,,,Hard rock,Primary,,0,No,0,No,1,Confirmado,0,No,0,No,0,No,0,No,0,0,0,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II)
35,Mina do Portal,,Lusitania,Portugal,Northern Portugal,Northern Portugal,,NP-06,,,,,41.039901,-8.404394,300.0,Carvalho and da Veiga Ferreira 1954,,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Carvalho and da Veiga Ferreira 1954; Sanchez-Palencia and Orejas 1994, 198",,,,FALSE,FALSE,0.0,0.0,0.0,0.0,,,Primary,Selective,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,0,0,0,0,0.85,0.9,1.0,0.905,Alta Certeza (Grado I)
36,Minancos,,Hispania Baetica,Portugal,Beja,Picos de Aroche,,,POR 5,503.0,286.9,133.5,38.16428271,-7.141500915,,,,,,,,,FALSE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Domergue 1990: 61,,,FALSE,FALSE,FALSE,0.0,0.0,0.0,,,Hard rock,Primary,,0,No,0,No,1,Confirmado,0,No,0,No,0,No,0,No,0,0,0,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II)
37,Monfortinho 1,,Hispania Tarraconensis,Portugal,Castelo Branco,Beiras,,,POR 17.1,271.0,307.5,339.0,40.01267954,-6.874035303,,,"Location is actually slightly to the N of this point, at confluence of rio Erges and ribeiro do Segundo Areijo",,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Domergue 1990: 41,0.0,0.0,TRUE,FALSE,FALSE,0.0,1.0,0.0,0.0,,Quaternary terrace,,,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,1,0,1,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II)
38,Monfortinho 2,,Hispania Tarraconensis,Portugal,Castelo Branco,Beiras,,,POR 17.2,271.0,307.5,339.0,40.01267954,-6.874035303,,,,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Domergue 1990: 41,0.0,0.0,TRUE,FALSE,FALSE,0.0,1.0,0.0,0.0,,Quaternary terrace,,,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,1,0,1,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II)
39,Monfortinho 3 (Fonte Santa),,Hispania Tarraconensis,Portugal,Castelo Branco,Beiras,,,POR 17.3,271.0,307.2,337.2,39.99651051,-6.877844815,,,,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Domergue 1990: 41,0.0,0.0,TRUE,FALSE,FALSE,0.0,1.0,0.0,0.0,,Quaternary terrace,,,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,1,0,1,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II)
40,Monte Judeu,,Hispania Baetica,Portugal,Beja,Picos de Aroche,,,POR 9,524.0,268.5,119.9,38.04335366,-7.352737619,,,,,,,,,FALSE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Domergue 1990: 61,,,FALSE,FALSE,FALSE,0.0,0.0,0.0,,,Hard rock,Primary,,0,No,0,No,1,Confirmado,0,No,0,No,0,No,0,No,0,0,0,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II)
133,Nogueirinha,,Lusitania,Portugal,Évora,Alentejo,,,POR 22,459.0,200.4,174.0,38.53331052,-8.128499598,,,,,,,,,FALSE,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,Domergue 1990: 62,,,FALSE,FALSE,FALSE,0.0,0.0,0.0,,,,,,0,No,0,No,0,No,0,No,0,No,0,No,1,Confirmado,0,0,0,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II)
134,Outeiro Machado,,Hispania Tarraconensis,Portugal,Northern Portugal,Northern Portugal,,NP-12,,,,,41.750612,-7.515958,500.0,Location is for the rock art site of Outeiro Machado; mines are said to be nearby,,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Sanchez-Palencia and Orejas 1994, 198",1.0,,,FALSE,FALSE,0.0,0.0,0.0,0.0,,,Primary,Extensive,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,0,0,1,0,0.85,0.9,1.0,0.905,Alta Certeza (Grado I)
135,Paulinos,,Hispania Tarraconensis,Portugal,Braga,Trás-os-montes,,,POR 12,70.0,169.9,508.9,41.5488674,-8.493903507,,,,,,,,,FALSE,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,Domergue 1990: 41,,,FALSE,FALSE,FALSE,0.0,0.0,0.0,,,Hard rock,Primary,,0,No,0,No,0,No,0,No,0,No,1,Confirmado,0,No,0,0,0,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II)
136,Picalto,,Lusitania,Portugal,Faro,Algarve,,,POR 25,587.0,190.5,33.0,37.26293846,-8.240163649,,,,,,,,,FALSE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Domergue 1990: 62,,,FALSE,FALSE,FALSE,0.0,0.0,0.0,,,,,,0,No,0,No,1,Confirmado,0,No,0,No,0,No,0,No,0,0,0,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II)
137,Pirâmide de Santa Justa,,Hispania Tarraconensis,Portugal,Northern Portugal,Northern Portugal,,NP-03,,,,,41.171439,-8.494012,1000.0,"Guessed from Google Earth and Sanchez-Palencia and Orejas 1994, fig. 12",,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Sanchez-Palencia and Orejas 1994, 198",,,,FALSE,FALSE,0.0,0.0,0.0,0.0,,,Primary,Selective - Extensive,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,0,0,0,0,0.7,0.9,1.0,0.845,Alta Certeza (Grado I)
138,Poço das Freitas,,Hispania Tarraconensis,Portugal,Vila Real,Trás-os-montes,,NP-10,POR 42,46.0,244.5,529.9,41.73727222,-7.598234313,,,,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Domergue 1990: 41; Sanchez-Palencia and Orejas 1994, 198",1.0,1.0,FALSE,FALSE,FALSE,0.0,0.0,0.0,0.0,,Gold-bearing quartz arsenopyrite veins in granite.,Primary,Extensive,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,0,1,1,0,0.5,1.0,1.0,0.8,Alta Certeza (Grado I)
139,Batocas (Poço das Freitas),,Hispania Tarraconensis,Portugal,Vila Real,Trás-os-montes,,,POR 42,33.0,244.3,531.9,41.75528934,-7.600489841,,,,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Domergue 1990: 41; Lima et al. 2014,0.0,1.0,FALSE,FALSE,FALSE,0.0,0.0,0.0,0.0,,Hard rock,Primary,,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,0,1,0,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II)
140,Quarta Feira,,Hispania Tarraconensis,Portugal,Guarda,Beiras,,,POR 28,226.0,279.0,377.2,40.35979926,-7.203108594,,,,,,,,,FALSE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Domergue 1990: 42,,,FALSE,FALSE,FALSE,0.0,0.0,0.0,,,Hard rock,,,0,No,0,No,1,Confirmado,0,No,0,No,0,No,0,No,0,0,0,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II)
141,Recarei,,Hispania Tarraconensis,Portugal,Northern Portugal,Northern Portugal,,NP-04,,,,,41.157252,-8.434914,1000.0,"Placename, Google Earth",,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Sanchez-Palencia and Orejas 1994, 198",,,,FALSE,FALSE,0.0,0.0,0.0,0.0,,,Primary,Extensive,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,0,0,0,0,0.7,0.9,1.0,0.845,Alta Certeza (Grado I)
142,Río Miño 3: Rio Mouro,,Hispania Tarraconensis,Portugal,Viano do Castelo,Cuenca media del Miño,,,POR 37,3.0,177.5,567.5,42.07670386,-8.405047143,,,,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Domergue 1990: 41,,,,,,,,,,,Quaternary terrace,,,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,0,0,0,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II)
143,Río Miño 4: Monção,,Hispania Tarraconensis,Portugal,Viano do Castelo,Cuenca media del Miño,,,POR 38,2.0,167.7,567.3,42.07456039,-8.523459902,,,,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Domergue 1990: 41,,,,,,,,,,,Quaternary terrace,,,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,0,0,0,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II)
144,Río Ponsul,,Hispania Tarraconensis,Portugal,Castelo Branco,Beiras,,,POR 16,293.0,265.0,316.0,39.80988767,-7.374041294,,,,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Domergue 1990: 41,0.0,0.0,TRUE,FALSE,FALSE,0.0,1.0,0.0,0.0,,Quaternary terrace,,,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,1,0,1,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II)
