mineID,site,ancientName,province,country,region,miningDistrict,romanianRANID,sanchezPalenciaAndOrejasID,domergueID,spainMapSheet,lambertX,lambertY,latitude,longitude,coordinateAccuracy,locationDataSource,locationNotes,notBeforeOpeningDate,notAfterOpeningDate,notBeforeClosingDate,notAfterClosingDate,inUseDate,metalMinedGold,metalMinedSilver,metalMinedLead,metalMinedCopper,metalMinedTin,metalMinedIron,metalMinedMercuryCinnabar,metalMinedZinc,metalMinedOther,description,references,techniqueOpencast,techniqueUnderground,techniqueHydraulic,techniqueHushing,techniqueGroundSluicing,techniqueRuinaMontium,techniqueRakeComb,techniqueGoldWashing,techniqueOther,notes,geology,depositType,exploitationType,Flag_Au_Oro,Status_Au_Oro,Flag_Ag_Plata,Status_Ag_Plata,Flag_Cu_Cobre,Status_Cu_Cobre,Flag_Pb_Plomo,Status_Pb_Plomo,Flag_Hg_Cinabrio,Status_Hg_Cinabrio,Flag_Sn_Estano,Status_Sn_Estano,Flag_Fe_Hierro,Status_Fe_Hierro,Tech_Ruina_Montium,Tech_Subterranea,Tech_Cielo_Abierto,Tech_Lavado_Placer,Certainty_Spatial,Certainty_Archaeological,Certainty_Metallogenic,Certainty_Score,Certainty_Grade,Real_Elevation_MDT_m,Real_IGME_Lithology_General,Real_IGME_Lithology_Detailed,Real_IGME_Era,Real_IGME_Sistema,Real_IGME_Dominio,Coord_X,Coord_Y,Real_IGME_Dist_Fault_m,Real_IGME_Dist_Contact_m,Real_IGME_Fault_Density_5km
11,Corta da Torre,,Hispania Tarraconensis,Portugal,Northern Portugal,Northern Portugal,,NP-19,,,,,41.69245,-8.670924,5000.0,"Guessed from Google Earth and Sanchez-Palencia and Orejas 1994, fig. 12",,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Sanchez-Palencia and Orejas 1994, 199",,,,False,False,0.0,0.0,0.0,0.0,,,Primary,Extensive,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,0,0,0,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II),296.0,Macizo Ibérico (Zona Ossa-Morena / Centroibérica),"Pizarras, esquistos y metavulcanitas hercínicas",PALEOZOICO,DEVONICO-CARBONIFERO,ZONA CENTROIBERICA / OSSA MORENA (LNEG),28003.549642255763,4631193.586418149,137538.4,129942.9,0
12,Corta do Penedo das Bruxas,,Hispania Tarraconensis,Portugal,Northern Portugal,Northern Portugal,,NP-11,,,,,41.737828,-7.573834,1000.0,"Guessed from Google Earth and Sanchez-Palencia and Orejas 1994, fig. 12",,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Sanchez-Palencia and Orejas 1994, 198",,,,False,False,0.0,0.0,0.0,0.0,,,Primary,Extensive,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,0,0,0,0,0.7,0.9,1.0,0.845,Alta Certeza (Grado I),667.0,Macizo Ibérico (Zona Ossa-Morena / Centroibérica),"Pizarras, esquistos y metavulcanitas hercínicas",PALEOZOICO,DEVONICO-CARBONIFERO,ZONA CENTROIBERICA / OSSA MORENA (LNEG),119608.68929797091,4630787.364660125,98831.7,98877.9,0
13,Covas de Mouros de Monte da Nó,,Hispania Tarraconensis,Portugal,Northern Portugal,Northern Portugal,,NP-20,,,,,41.708911,-8.59835,2000.0,"Guessed from Google Earth and Sanchez-Palencia and Orejas 1994, fig. 12",,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Sanchez-Palencia and Orejas 1994, 199",,,,False,False,0.0,0.0,0.0,0.0,,,Primary,Selective,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,0,0,0,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II),503.0,Macizo Ibérico (Zona Ossa-Morena / Centroibérica),"Pizarras, esquistos y metavulcanitas hercínicas",PALEOZOICO,DEVONICO-CARBONIFERO,ZONA CENTROIBERICA / OSSA MORENA (LNEG),34165.40951870009,4632625.597054143,132251.4,125192.0,0
14,Crugeira,,Hispania Baetica,Portugal,Beja,Picos de Aroche,,,POR 10,513.0,271.5,127.4,38.11068367,-7.317816557,,,,,,,,,FALSE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Domergue 1990: 61,,,False,False,False,0.0,0.0,0.0,,,Hard rock,Primary,,0,No,0,No,1,Confirmado,0,No,0,No,0,No,0,No,0,0,0,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II),154.0,Macizo Ibérico (Zona Ossa-Morena / Centroibérica),"Pizarras, esquistos y metavulcanitas hercínicas",PALEOZOICO,DEVONICO-CARBONIFERO,ZONA CENTROIBERICA / OSSA MORENA (LNEG),121391.69521422149,4226909.848094804,5008.1,153.6,0
15,Ervedosa,,Hispania Tarraconensis,Portugal,Bragança,Trás-os-montes,,,POR 14,49.0,286.3,529.0,41.7257388,-7.095970035,,,,,,,,,FALSE,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,Domergue 1990: 41,,,False,False,False,0.0,0.0,0.0,,,Hard rock,Primary,,0,No,0,No,0,No,0,No,0,No,1,Confirmado,0,No,0,0,0,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II),491.0,Macizo Ibérico (Zona Ossa-Morena / Centroibérica),"Pizarras, esquistos y metavulcanitas hercínicas",PALEOZOICO,DEVONICO-CARBONIFERO,ZONA CENTROIBERICA / OSSA MORENA (LNEG),159295.30419894133,4627438.779208347,101851.8,102082.4,0
16,Escadia Grande,,Hispania Tarraconensis,Portugal,Coimbra,Beiras,,,POR 20,253.0,201.5,345.5,40.07804448,-8.11552781,,,,,,,,,TRUE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Domergue 1990: 41,,,,,,,,,,,Hard rock,,,1,Confirmado,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,0,0,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II),648.0,Macizo Ibérico (Zona Ossa-Morena / Centroibérica),"Pizarras, esquistos y metavulcanitas hercínicas",PALEOZOICO,DEVONICO-CARBONIFERO,ZONA CENTROIBERICA / OSSA MORENA (LNEG),63737.78722712828,4448976.524939367,143903.8,131052.3,0
18,Folgadouro,,Hispania Tarraconensis,Portugal,Viano do Castelo,Trás-os-montes,,,POR 39,27.0,148.3,533.5,41.7692345,-8.754909308,,,,,,,,,FALSE,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,Domergue 1990: 41,,,False,False,False,0.0,0.0,0.0,,,Hard rock,Primary,,0,No,0,No,0,No,0,No,0,No,1,Confirmado,0,No,0,0,0,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II),252.0,Macizo Ibérico (Zona Ossa-Morena / Centroibérica),"Pizarras, esquistos y metavulcanitas hercínicas",PALEOZOICO,DEVONICO-CARBONIFERO,ZONA CENTROIBERICA / OSSA MORENA (LNEG),21582.916287567,4640188.684979921,136028.2,126971.6,0
19,Forca,,Hispania Tarraconensis,Portugal,Northern Portugal,Northern Portugal,,NP-24,,,,,41.836843,-8.260849,5000.0,"Guessed from Google Earth and Sanchez-Palencia and Orejas 1994, fig. 12",,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Sanchez-Palencia and Orejas 1994, 199",,,,False,False,0.0,0.0,0.0,0.0,,,Primary,Extensive,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,0,0,0,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II),407.0,Macizo Ibérico (Zona Ossa-Morena / Centroibérica),"Pizarras, esquistos y metavulcanitas hercínicas",PALEOZOICO,DEVONICO-CARBONIFERO,ZONA CENTROIBERICA / OSSA MORENA (LNEG),63129.60797171766,4645059.290305735,104220.2,99910.8,0
20,França,,Hispania Tarraconensis,Portugal,Northern Portugal,Northern Portugal,,NP-18,,,,,41.9014042,-6.7373962,1000.0,https://wiki.city/en/portugal_braganca_braganca_franca,,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Sanchez-Palencia and Orejas 1994, 199",,,,False,False,0.0,0.0,0.0,0.0,,,Primary,Selective,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,0,0,0,0,0.7,0.9,1.0,0.845,Alta Certeza (Grado I),664.0,Macizo Ibérico (Zona Ossa-Morena / Centroibérica),"Pizarras, esquistos y metavulcanitas hercínicas",PALEOZOICO,DEVONICO-CARBONIFERO,ZONA CENTROIBERICA / OSSA MORENA (LNEG),189976.33430697862,4645587.333976032,84433.6,84673.2,0
21,Furados de Pombeiro,,Hispania Tarraconensis,Portugal,Coimbra,Beiras,,,POR 19,232.0,201.9,363.7,40.24195054,-8.110787612,,,,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Domergue 1990: 41,,,,,,,,,,,River placer deposits,,,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,0,0,0,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II),173.0,Macizo Ibérico (Zona Ossa-Morena / Centroibérica),"Pizarras, esquistos y metavulcanitas hercínicas",PALEOZOICO,DEVONICO-CARBONIFERO,ZONA CENTROIBERICA / OSSA MORENA (LNEG),65192.29597995448,4467157.912694668,160840.8,148411.5,0
22,Grovelas,,Hispania Tarraconensis,Portugal,Northern Portugal,Northern Portugal,,NP-22,,,,,41.751727,-8.437788,1000.0,Google Earth,,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Sanchez-Palencia and Orejas 1994, 199",,,,False,False,0.0,0.0,0.0,0.0,,,Primary,Selective,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,0,0,0,0,0.7,0.9,1.0,0.845,Alta Certeza (Grado I),283.0,Macizo Ibérico (Zona Ossa-Morena / Centroibérica),"Pizarras, esquistos y metavulcanitas hercínicas",PALEOZOICO,DEVONICO-CARBONIFERO,ZONA CENTROIBERICA / OSSA MORENA (LNEG),47831.66454775439,4636522.545930811,120324.1,114572.6,0
23,Herdade da Tinoca,,Lusitania,Portugal,Portalegre,Alentejo,,,POR 29,386.0,285.7,235.0,39.07860132,-7.142712111,,,,,,,,,FALSE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Domergue 1990: 62,,,False,False,False,0.0,0.0,0.0,,,Hard rock,,,0,No,0,No,1,Confirmado,0,No,0,No,0,No,0,No,0,0,0,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II),273.0,Macizo Ibérico (Zona Ossa-Morena / Centroibérica),"Pizarras, esquistos y metavulcanitas hercínicas",PALEOZOICO,DEVONICO-CARBONIFERO,ZONA CENTROIBERICA / OSSA MORENA (LNEG),141607.8815647459,4333674.680550051,13831.4,11402.8,0
24,Herdade do Montinho,,Lusitania,Portugal,Beja,Alentejo,,,POR 11,538.0,197.6,99.6,37.86304358,-8.160350225,,,,,,,,,FALSE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Domergue 1990: 62,,,False,False,False,0.0,0.0,0.0,,,Pyrite,,,0,No,0,No,1,Confirmado,0,No,0,No,0,No,0,No,0,0,0,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II),179.0,Macizo Ibérico (Zona Ossa-Morena / Centroibérica),"Pizarras, esquistos y metavulcanitas hercínicas",PALEOZOICO,DEVONICO-CARBONIFERO,ZONA CENTROIBERICA / OSSA MORENA (LNEG),45941.38223749539,4203188.981248161,50940.1,53316.7,0
25,Jales,,Hispania Tarraconensis,Portugal,Vila Real,Trás-os-montes,,NP-08,POR 44,88.0,245.6,499.7,41.46531351,-7.587303241,,,,,,,,,TRUE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Domergue 1990: 41; Sanchez-Palencia and Orejas 1994, 198",0.0,1.0,False,False,False,0.0,0.0,0.0,0.0,,Hard rock,Primary,Selective - Extensive,1,Confirmado,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,1,0,0,0.5,1.0,1.0,0.8,Alta Certeza (Grado I),840.0,Macizo Ibérico (Zona Ossa-Morena / Centroibérica),"Pizarras, esquistos y metavulcanitas hercínicas",PALEOZOICO,DEVONICO-CARBONIFERO,ZONA CENTROIBERICA / OSSA MORENA (LNEG),116875.85641644092,4600580.720877053,129161.4,129185.0,0
26,Juliana,,Lusitania,Portugal,Beja,Alentejo,,,POR 6,530.0,207.7,104.5,37.90716138,-8.045521077,,,,,,,,,FALSE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Domergue 1990: 62,0.0,1.0,False,False,False,0.0,0.0,0.0,0.0,,Hard rock,,,0,No,0,No,1,Confirmado,0,No,0,No,0,No,0,No,0,1,0,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II),141.0,Macizo Ibérico (Zona Ossa-Morena / Centroibérica),"Pizarras, esquistos y metavulcanitas hercínicas",PALEOZOICO,DEVONICO-CARBONIFERO,ZONA CENTROIBERICA / OSSA MORENA (LNEG),56317.36249050358,4207534.378139321,42772.2,42980.8,0
27,Lagares,,Hispania Tarraconensis,Portugal,Northern Portugal,Northern Portugal,,NP-13,,,,,41.807087,-7.455047,1000.0,"Guessed from Google Earth and Sanchez-Palencia and Orejas 1994, fig. 12",,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Sanchez-Palencia and Orejas 1994, 198",,,,False,False,0.0,0.0,0.0,0.0,,,Primary,Selective,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,0,0,0,0,0.7,0.9,1.0,0.845,Alta Certeza (Grado I),421.0,Macizo Ibérico (Zona Ossa-Morena / Centroibérica),"Pizarras, esquistos y metavulcanitas hercínicas",PALEOZOICO,DEVONICO-CARBONIFERO,ZONA CENTROIBERICA / OSSA MORENA (LNEG),129889.37623222114,4637960.0370289525,91216.7,91209.2,0
28,Macedinho,,Hispania Tarraconensis,Portugal,Northern Portugal,Northern Portugal,,NP-15,,,,,41.405245,-7.104955,2000.0,Google Earth,,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Sanchez-Palencia and Orejas 1994, 199",,,,False,False,0.0,0.0,0.0,0.0,,,Primary,Extensive,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,0,0,0,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II),406.0,Macizo Ibérico (Zona Ossa-Morena / Centroibérica),"Pizarras, esquistos y metavulcanitas hercínicas",PALEOZOICO,DEVONICO-CARBONIFERO,ZONA CENTROIBERICA / OSSA MORENA (LNEG),156852.99442428,4591882.079207157,137487.4,137673.7,0
29,Malhada,,Hispania Tarraconensis,Portugal,Aveiro,Beiras,,,POR 1,175.0,177.4,419.2,40.74143642,-8.400695101,,,,,,,,,FALSE,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Domergue 1990: 42,0.0,1.0,False,False,False,0.0,0.0,0.0,0.0,,Hard rock,,,0,No,1,Confirmado,0,No,1,Confirmado,0,No,0,No,0,No,0,1,0,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II),186.0,Macizo Ibérico (Zona Ossa-Morena / Centroibérica),"Pizarras, esquistos y metavulcanitas hercínicas",PALEOZOICO,DEVONICO-CARBONIFERO,ZONA CENTROIBERICA / OSSA MORENA (LNEG),43922.21232720249,4524105.797759157,220557.5,208735.5,0
30,Meimoa,,Hispania Tarraconensis,Portugal,Castelo Branco,Beiras,,,POR 18,248.0,286.0,359.5,40.19973244,-7.123086066,,,,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Domergue 1990: 41,0.0,0.0,True,True,True,0.0,1.0,0.0,0.0,,Tertiary alluvium,,,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,1,0,1,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II),529.0,Macizo Ibérico (Zona Ossa-Morena / Centroibérica),"Pizarras, esquistos y metavulcanitas hercínicas",PALEOZOICO,DEVONICO-CARBONIFERO,ZONA CENTROIBERICA / OSSA MORENA (LNEG),149031.16844700614,4458084.4998694,138081.4,134266.7,0
32,Milreu,,Hispania Tarraconensis,Portugal,Santarem,Beiras,,,POR 35,311.0,199.2,294.5,39.61872097,-8.142422005,,,,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Domergue 1990: 41,,,,,,,,,,,Tertiary alluvium,,,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,0,0,0,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II),256.0,Macizo Ibérico (Zona Ossa-Morena / Centroibérica),"Pizarras, esquistos y metavulcanitas hercínicas",PALEOZOICO,DEVONICO-CARBONIFERO,ZONA CENTROIBERICA / OSSA MORENA (LNEG),58501.29554184625,4398093.190145055,99585.8,84443.4,0
33,Mina da Cabranca,,Lusitania,Portugal,Northern Portugal,Northern Portugal,,NP-07,,,,,41.012513,-8.361867,200.0,Carvalho and da Veiga Ferreira 1954,,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Carvalho and da Veiga Ferreira 1954; Sanchez-Palencia and Orejas 1994, 198",,,,False,False,0.0,0.0,0.0,0.0,,,Primary,Selective,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,0,0,0,0,0.85,0.9,1.0,0.905,Alta Certeza (Grado I),65.0,Macizo Ibérico (Zona Ossa-Morena / Centroibérica),"Pizarras, esquistos y metavulcanitas hercínicas",PALEOZOICO,DEVONICO-CARBONIFERO,ZONA CENTROIBERICA / OSSA MORENA (LNEG),49052.094183065754,4554014.48498904,190928.5,189894.2,0
34,Mina do Bugalho,,Hispania Baetica,Portugal,Évora,Picos de Aroche,,,POR 21,441.0,270.9,191.1,38.68452182,-7.318251199,,,,,,,,,FALSE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Domergue 1990: 61,,,False,False,False,0.0,0.0,0.0,,,Hard rock,Primary,,0,No,0,No,1,Confirmado,0,No,0,No,0,No,0,No,0,0,0,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II),221.0,Macizo Ibérico (Zona Ossa-Morena / Centroibérica),"Pizarras, esquistos y metavulcanitas hercínicas",PALEOZOICO,DEVONICO-CARBONIFERO,ZONA CENTROIBERICA / OSSA MORENA (LNEG),124341.85816079052,4290626.059102087,799.9,655.3,14
